№;Наименование объекта;Адрес;Функциональная зона территории;Режим использования земель;Размер земельного участка;Площадь здания;Площадь застройки;Площадь озеленения участка;Год ввода в эксплуатацию;Год прекращения функции образовательной организации;Новая функция;Проектная вместимость здания;Тип проекта;Архитектор;Архитектурный стиль;Наличие исторической отделки;Историческое здание;Техническое состояние здания;Материал наружных стен, перекрытий, кровли;Подключение к городским коммуникациям
1;"Школа жилмассива завода ""Электросила""";г. Санкт-Петербург, улица Решетникова, дом 15, литера А;Зона застройки многоэтажными жилыми домами (девять этажей и более);-;12137;26064;6516;448;1930;1948;58-й Центральный проектный институт;1250;Индивидуальный проект;Дядин Г. И.;Конструктивизм;Нет;да;Работоспособное;Кирпич, железобетон, металл;Подключено
2;Школа № 112 Выборгского района ;г. Санкт-Петербург, проспект Пархоменко, дом 13, литера А;общественно-деловая зона;-;8298;3416,8;1330,5;844;1935;2009;Налоговая инспекция Выборгского района;880;"Институт ""Ленпроект"", 6 мастерская";Троцкий Н. А., Мартынов А. С.;Сталинский неоклассицзим;нет;да;Исправное;Кирпич, дерево, металл;Подключено
3;Школа № 373;г. Санкт-Петербург, улица Коли Томчака, дом 15, литера А;производственная зона;-;6122;4020,9;1548;2196;1937;2009;Управление пенсионного фонда РФ по Московскому району;880;"Институт ""Ленпроект"", 6 мастерская";Троцкий Н. А., Мартынов А. С.;Конструктивизм;нет;да;Работоспособное;Кирпич, дерево, металл;Подключено
4;Школа N 387 Кировcкого района ;г. Санкт-Петербург, муниципальный округ Нарвский округ, Турбинная улица, дом 50, строение 1;общественно-деловая зона;ЗРЗ;6122;3409,2;2053,8;1137;1936;1992;Центр образования N 162 Кировского района;880;"Институт ""Ленпроект"", 6 мастерская";Троцкий Н. А., Мартынов А. С.;-;есть;да;Исправное;Кирпич, железобетон, металл;Подключено
5;Школа № 304 Фрунзенского района;г. Санкт-Петербург, улица Черняховского, дом 17, литера А;зона застройки среднеэтажными жилыми домами;ОЗРЗ-2;1431;2890;1156;0;1937;2009;Объединенный архив Комитета по образованию;880;"Институт ""Ленпроект"", 6 мастерская";Троцкий Н. А., Мартынов А. С.;Сталинский неоклассицзим;есть;нет;Ограниченно работоспособное;Кирпич, железобетон, металл;Подключено
6;Школа ;г. Санкт-Петербург, улица Ольминского, дом 13, литера А;общественно-деловая зона;-;14202;9900,9;3905;3636;1936;2023;Не используется;880;Типовой проект;Гинцберг А.С., Асс Л.Е.;-;нет;нет;Аварийное (пожар в 2023 г.);Кирпич, -, -;Частично подключено
7;Школа;г. Санкт-Петербург, улица Маршала Говорова, дом 38, литера А;общественно-деловая зона;ЗРЗ;6337;7362;2454;1361;1936;2002;Кировский федеральный суд;880;Типовой проект;Гинцберг А.С., Асс Л.Е.;Сталинский неоклассицзим;есть;да;Исправное;Кирпич, железобетон, металл;Подключено
8;Школа;г. Санкт-Петербург, проспект Обуховской Обороны, дом 287, корпус 1, литера А;зона застройки многоэтажными жилыми домами ;-;4403;3753;1251;2866;1936;2011;Жилой дом;880;Типовой проект;Гинцберг А.С., Асс Л.Е.;Сталинский неоклассицзим;нет;да;Ограниченно работоспособное;Кирпич, дерево, металл;Частично подключено
9;Школа ФЗУ совместно с Институтом коммунального хозяйства ;г. Санкт-Петербург, улица Савушкина, дом 7, литера А;зона застройки среднеэтажными жилыми домами;ОЗРЗ-2(;2487;4347;1449;0;1937;1988;Бизнес-центр;880;Типовой проект;Гинцберг А.С., Асс Л.Е.;-;нет;да;Работоспособное;Кирпич, железобетон, металл;Подключено
10;Школа ФЗУ Ленэнерго;г. Санкт-Петербург, ул. Пугачева, дом 5-7;зона застройки среднеэтажными жилыми домами;ОЗРЗ-2;10550;4629;1543;1711;1933;1965;Ремонтное предприятие;800;Индивидуальный проект;-;Конструктивизм;Есть;да;Исправное;Кирпич, железобетон, металл;Подключено
11;Школа № 371 ;г. Санкт-Петербург, ул. Севастьянова, дом 13;Зона застройки среднеэтажными жилыми домами;ЗРЗ;3617;3969;1323;299;1936;1992;Офисный центр;440;Типовой проект;-;-;Нет;да;Исправное;Шлакобетон, бетон, металл;Подключено
